,17%,25%,50%,75%,83%
B[Maui-Kihei Coral],0.71614568,0.789176687,0.981003047,1.178860455,1.25876326
B[Maui-Lahaina Coral],0.68670758,0.766536447,0.9625113,1.170655168,1.257425484
B[Maui-Northeast Coral],0.626041031,0.712150492,0.911193169,1.118754129,1.205525107
B[Maui-Northwest Coral],0.645700809,0.728906902,0.927900744,1.143386373,1.23614384
B[Molokai-Northwest Coral],0.579780403,0.662017048,0.856930015,1.060029215,1.150397592
B[Molokai-Pali Coral],0.605049482,0.684166556,0.882276936,1.093016117,1.184020808
B[Molokai-South Coral],0.579090272,0.653401046,0.827977086,1.003798355,1.079968215
B[Molokai-West Coral],0.642703799,0.721867721,0.912415752,1.112129603,1.200834881
B[Niihau-East Coral],0.579012296,0.672944633,0.902222659,1.153674601,1.267101095
B[Niihau-Lehua Coral],0.536638603,0.638925605,0.885304488,1.149582535,1.277532141
B[Niihau-West Coral],0.582283316,0.671676082,0.892848718,1.12638056,1.233557659
B[Oahu-East Coral],0.655102263,0.732216504,0.918895108,1.116040629,1.201102627
B[Oahu-Kaena Coral],0.609437172,0.687611195,0.87978497,1.077726394,1.161670008
B[Oahu-Northeast Coral],0.633638788,0.711703316,0.90049498,1.090813401,1.173918764
B[Oahu-Northwest Coral],0.622797904,0.701537874,0.893514746,1.087700567,1.170529411
B[Oahu-South Coral],0.578969738,0.660463722,0.859248536,1.063867791,1.153683751
B[Hawaii-Hamakua Coral x Coral],-0.839777665,-0.759543342,-0.581224321,-0.415697615,-0.34651439
B[Hawaii-Kona Coral x Coral],-0.806114382,-0.730942541,-0.560527769,-0.39309915,-0.324446465
B[Hawaii-Puna Coral x Coral],-0.857304559,-0.782668528,-0.614012252,-0.451037262,-0.386962914
B[Hawaii-Southeast Coral x Coral],-0.834997125,-0.756224702,-0.579982781,-0.410435989,-0.342834707
B[Kauai-East Coral x Coral],-0.811948672,-0.717550812,-0.506991693,-0.304870707,-0.215975636
B[Kauai-Na Pali Coral x Coral],-0.843988989,-0.751307911,-0.543671202,-0.353909709,-0.271776128
B[Lanai-North Coral x Coral],-0.788374125,-0.71050773,-0.53519689,-0.36654978,-0.297390991
B[Lanai-South Coral x Coral],-0.770934116,-0.693032316,-0.514310008,-0.34246716,-0.273261175
B[Maui-Kahului Coral x Coral],-0.772975409,-0.703895905,-0.543043536,-0.389698585,-0.325757813
B[Maui-Kihei Coral x Coral],-0.763970123,-0.697824252,-0.544642609,-0.393840777,-0.331633177
B[Maui-Lahaina Coral x Coral],-0.784947935,-0.709274326,-0.543276776,-0.378388999,-0.310469422
B[Maui-Northeast Coral x Coral],-0.800048461,-0.720759446,-0.546806979,-0.380706628,-0.313917459
B[Maui-Northwest Coral x Coral],-0.794190947,-0.719740399,-0.542684581,-0.376620436,-0.309383716
B[Molokai-Northwest Coral x Coral],-0.81968829,-0.74169694,-0.567797518,-0.402231154,-0.334093996
B[Molokai-Pali Coral x Coral],-0.817489122,-0.740226658,-0.566815001,-0.400377278,-0.333478099
B[Molokai-South Coral x Coral],-0.786116375,-0.722412526,-0.574325871,-0.42954073,-0.367664876
B[Molokai-West Coral x Coral],-0.80902796,-0.733947055,-0.559965356,-0.394631601,-0.324007496
B[Niihau-East Coral x Coral],-0.847961169,-0.75358238,-0.551148032,-0.358788257,-0.282478282
B[Niihau-Lehua Coral x Coral],-0.878610068,-0.774660263,-0.555194064,-0.351004733,-0.269620025
B[Niihau-West Coral x Coral],-0.847501304,-0.757804546,-0.558446471,-0.371613521,-0.298304361
B[Oahu-East Coral x Coral],-0.803815774,-0.722221413,-0.536486422,-0.357642751,-0.286193478
B[Oahu-Kaena Coral x Coral],-0.812264303,-0.729386609,-0.542568305,-0.362232021,-0.290381927
B[Oahu-Northeast Coral x Coral],-0.808668423,-0.726982488,-0.541356232,-0.365911511,-0.294272124
B[Oahu-Northwest Coral x Coral],-0.807187216,-0.725670658,-0.541919163,-0.36170067,-0.291124094
B[Oahu-South Coral x Coral],-0.84966866,-0.758321343,-0.559557301,-0.375458478,-0.3026844
B[Hawaii-Hamakua Sand],-0.182188918,-0.154412755,-0.093596612,-0.037542394,-0.01733018
B[Hawaii-Kona Sand],-0.171518953,-0.142501729,-0.077595366,-0.019023681,0.000956049
B[Hawaii-Puna Sand],-0.174552281,-0.147831163,-0.085670809,-0.027932722,-0.008553824
B[Hawaii-Southeast Sand],-0.180023973,-0.151983872,-0.088514583,-0.031424533,-0.010753338
B[Kauai-East Sand],-0.193684906,-0.162269691,-0.093426748,-0.032653147,-0.010768624
B[Kauai-Na Pali Sand],-0.190719803,-0.158412006,-0.091243894,-0.030753324,-0.009219948
B[Lanai-North Sand],-0.198026077,-0.165331866,-0.09740095,-0.037929723,-0.01597559
B[Lanai-South Sand],-0.181058,-0.151775785,-0.089907996,-0.031922319,-0.011002854
B[Maui-Kahului Sand],-0.197421171,-0.167804149,-0.102928753,-0.045366936,-0.023998666
B[Maui-Kihei Sand],-0.200891775,-0.171361383,-0.108043222,-0.050524854,-0.028891624
B[Maui-Lahaina Sand],-0.208901291,-0.179526018,-0.115442514,-0.057143625,-0.035390987
B[Maui-Northeast Sand],-0.197595526,-0.166717041,-0.10186012,-0.044520464,-0.022519938
B[Maui-Northwest Sand],-0.198984236,-0.168594166,-0.103388409,-0.045020552,-0.022690414
B[Molokai-Northwest Sand],-0.176464304,-0.149737008,-0.09080216,-0.03638379,-0.015902942
B[Molokai-Pali Sand],-0.167029297,-0.142574534,-0.086871547,-0.033955175,-0.013664891
B[Molokai-South Sand],-0.181941278,-0.154946967,-0.096760688,-0.042842167,-0.022355208
B[Molokai-West Sand],-0.157978286,-0.134808894,-0.080834665,-0.028397541,-0.00854177
B[Niihau-East Sand],-0.247428854,-0.206006332,-0.123009577,-0.057369611,-0.033812556
B[Niihau-Lehua Sand],-0.206269475,-0.169303196,-0.092371729,-0.026633556,-0.003908585
B[Niihau-West Sand],-0.20907289,-0.175017514,-0.104147649,-0.04358513,-0.020198575
B[Oahu-East Sand],-0.179659796,-0.152777726,-0.091073369,-0.035371677,-0.013949166
B[Oahu-Kaena Sand],-0.17767013,-0.15034659,-0.089060759,-0.032584919,-0.010848189
B[Oahu-Northeast Sand],-0.172207655,-0.145839897,-0.086518223,-0.032204091,-0.010994868
B[Oahu-Northwest Sand],-0.181566178,-0.153958555,-0.089509898,-0.03195765,-0.011130983
B[Oahu-South Sand],-0.161809983,-0.138437901,-0.083145407,-0.03188263,-0.012554601
B[Hawaii-Hamakua CCA],0.066801228,0.096690052,0.169488376,0.250478245,0.289557795
B[Hawaii-Kona CCA],0.052613712,0.075135748,0.130255495,0.184467336,0.207321586
B[Hawaii-Puna CCA],0.070884235,0.099442093,0.168587051,0.246133457,0.283444776
B[Hawaii-Southeast CCA],0.067746366,0.09546803,0.162281362,0.2323331,0.263758185
B[Kauai-East CCA],-0.106429718,-0.030922582,0.090910088,0.18628939,0.226844227
B[Kauai-Na Pali CCA],-0.016256763,0.031235802,0.1277121,0.219754069,0.26102043
B[Lanai-North CCA],0.082490426,0.118369966,0.211452828,0.331057467,0.392592353
B[Lanai-South CCA],0.103844806,0.138644152,0.233661148,0.359981371,0.425104982
B[Maui-Kahului CCA],0.094909557,0.127234961,0.211517505,0.313272167,0.364564379
B[Maui-Kihei CCA],0.07455296,0.104127626,0.180571626,0.262162607,0.297980866
B[Maui-Lahaina CCA],0.082208001,0.11494393,0.197367273,0.296722589,0.347870126
B[Maui-Northeast CCA],0.095301765,0.127993001,0.213582171,0.320754123,0.376494587
B[Maui-Northwest CCA],0.078677571,0.112886234,0.197549684,0.300036875,0.349619529
B[Molokai-Northwest CCA],0.100648154,0.133581777,0.222240682,0.336424856,0.393411435
B[Molokai-Pali CCA],0.124744122,0.157656166,0.251264465,0.374554304,0.435247826
B[Molokai-South CCA],0.125375943,0.157594084,0.248762149,0.367646644,0.424588075
B[Molokai-West CCA],0.097634201,0.130893161,0.219289883,0.325752811,0.378420608
B[Niihau-East CCA],0.053389684,0.090844483,0.184140292,0.298692891,0.356816848
B[Niihau-Lehua CCA],0.057151057,0.096779402,0.199865979,0.336138891,0.406876843
B[Niihau-West CCA],0.045226138,0.081962166,0.170066906,0.268294032,0.315743009
B[Oahu-East CCA],0.059795103,0.097206798,0.186009048,0.288956425,0.342142853
B[Oahu-Kaena CCA],0.046793409,0.085556025,0.174859826,0.274513007,0.323534211
B[Oahu-Northeast CCA],0.058910339,0.094085097,0.181100719,0.282988079,0.332214934
B[Oahu-Northwest CCA],0.038333657,0.07759415,0.166297318,0.264575075,0.308691781
B[Oahu-South CCA],0.053165508,0.08967995,0.178841002,0.287800352,0.341433719
B[Hawaii-Hamakua Depth],0.205663559,0.249331261,0.360355014,0.483097425,0.538113123
B[Hawaii-Kona Depth],-0.219736749,-0.163977026,-0.02498568,0.109318356,0.160825073
B[Hawaii-Puna Depth],0.206718713,0.254468115,0.379253876,0.527918442,0.600207497
B[Hawaii-Southeast Depth],0.052994423,0.116985603,0.256632714,0.392682327,0.456666925
B[Kauai-East Depth],0.246594682,0.298733408,0.43096532,0.583398394,0.654692277
B[Kauai-Na Pali Depth],0.194175794,0.249531431,0.383104397,0.524447842,0.589635057
B[Lanai-North Depth],0.37749342,0.425036536,0.553575198,0.700177674,0.76687382
