,17%,25%,50%,75%,83%
B[Niihau-Lehua Coral x Coral],-1.9917058,-1.74497159,-1.248567116,-0.785503717,-0.602568855
B[Niihau-West Coral x Coral],-1.822724804,-1.632326671,-1.212708487,-0.832224027,-0.679903712
B[Oahu-East Coral x Coral],-1.764707855,-1.58536253,-1.180180262,-0.814357158,-0.672834532
B[Oahu-Kaena Coral x Coral],-1.68197999,-1.50730478,-1.114907561,-0.749570887,-0.601223282
B[Oahu-Northeast Coral x Coral],-1.70965094,-1.530068323,-1.126955835,-0.751797528,-0.602468299
B[Oahu-Northwest Coral x Coral],-1.665809035,-1.492245712,-1.099186429,-0.726573894,-0.569960808
B[Oahu-South Coral x Coral],-1.858230709,-1.657203925,-1.225808372,-0.834848098,-0.681689841
B[Hawaii-Hamakua Sand],-0.493084833,-0.430181242,-0.29528806,-0.172375901,-0.121719603
B[Hawaii-Kona Sand],-0.603901302,-0.519498613,-0.349809402,-0.215271946,-0.163652153
B[Hawaii-Puna Sand],-0.501945465,-0.435647376,-0.292184609,-0.161184421,-0.10548222
B[Hawaii-Southeast Sand],-0.530073203,-0.455656922,-0.305945931,-0.173813845,-0.12017372
B[Kauai-East Sand],-0.696846378,-0.60346866,-0.406693152,-0.248033755,-0.187471592
B[Kauai-Na Pali Sand],-0.520591117,-0.444195371,-0.29142334,-0.148224109,-0.088905078
B[Lanai-North Sand],-0.51268227,-0.440804782,-0.296706726,-0.164951302,-0.111928666
B[Lanai-South Sand],-0.463816945,-0.402834341,-0.269573333,-0.14414344,-0.092237598
B[Maui-Kahului Sand],-0.489314679,-0.426465285,-0.294784875,-0.169293083,-0.119148764
B[Maui-Kihei Sand],-0.501157581,-0.440558659,-0.309265239,-0.188805004,-0.142510004
B[Maui-Lahaina Sand],-0.486477501,-0.430967326,-0.307249463,-0.19190552,-0.146356196
B[Maui-Northeast Sand],-0.493042895,-0.429755104,-0.2933556,-0.167553428,-0.116274409
B[Maui-Northwest Sand],-0.494650637,-0.43189896,-0.295639986,-0.170224527,-0.116083355
B[Molokai-Northwest Sand],-0.503046885,-0.435299444,-0.292988724,-0.168178438,-0.115509005
B[Molokai-Pali Sand],-0.470916531,-0.4149753,-0.291521679,-0.174463003,-0.125970963
B[Molokai-South Sand],-0.550609579,-0.481794666,-0.336551072,-0.213737208,-0.166003738
B[Molokai-West Sand],-0.3865879,-0.339200572,-0.224553643,-0.102528201,-0.04812592
B[Niihau-East Sand],-0.561992069,-0.475309248,-0.296165891,-0.140739058,-0.078443078
B[Niihau-Lehua Sand],-0.49887518,-0.419703765,-0.247710328,-0.080211991,-0.004136509
B[Niihau-West Sand],-0.467350772,-0.402598747,-0.263139811,-0.125455685,-0.064151536
B[Oahu-East Sand],-0.396072537,-0.343707447,-0.221713299,-0.096675218,-0.040474163
B[Oahu-Kaena Sand],-0.459691533,-0.393259584,-0.253079556,-0.122780225,-0.068176367
B[Oahu-Northeast Sand],-0.424435122,-0.362913373,-0.227283781,-0.093468621,-0.03003485
B[Oahu-Northwest Sand],-0.490907239,-0.417121463,-0.263825946,-0.130498283,-0.070506955
B[Oahu-South Sand],-0.352587991,-0.306966776,-0.195292771,-0.079698889,-0.030134271
B[Hawaii-Hamakua CCA],0.040119536,0.089948519,0.215105273,0.348151551,0.412978266
B[Hawaii-Kona CCA],0.031335755,0.07067952,0.168627787,0.264269571,0.304612725
B[Hawaii-Puna CCA],0.066965275,0.114736895,0.237650418,0.375271944,0.44042614
B[Hawaii-Southeast CCA],0.008554899,0.058683704,0.178101831,0.298609109,0.349747591
B[Kauai-East CCA],-0.095947568,0.000186595,0.177606982,0.365891152,0.452182551
B[Kauai-Na Pali CCA],-0.016065936,0.04954921,0.207023606,0.376838165,0.454789503
B[Lanai-North CCA],0.104915319,0.163087634,0.332225217,0.549288079,0.665577579
B[Lanai-South CCA],0.123324013,0.181699433,0.346460145,0.562044794,0.668599974
B[Maui-Kahului CCA],0.137201997,0.195146921,0.356956889,0.564217452,0.66728405
B[Maui-Kihei CCA],0.125530726,0.180734946,0.327121369,0.500503341,0.580103055
B[Maui-Lahaina CCA],0.115332108,0.173847384,0.331693793,0.524937251,0.620787761
B[Maui-Northeast CCA],0.126150795,0.184358168,0.344743176,0.54865517,0.650119216
B[Maui-Northwest CCA],0.105315108,0.166702957,0.32440514,0.528030329,0.627782824
B[Molokai-Northwest CCA],0.096787746,0.156199936,0.314426905,0.511991053,0.60870152
B[Molokai-Pali CCA],0.149254816,0.208085008,0.373843604,0.592448543,0.700286477
B[Molokai-South CCA],0.143445532,0.200066919,0.361937634,0.565215204,0.663651409
B[Molokai-West CCA],0.090084093,0.148920217,0.302271203,0.485297136,0.574799613
B[Niihau-East CCA],0.049199755,0.126652218,0.34633523,0.665422872,0.855228175
B[Niihau-Lehua CCA],-0.080743602,0.016615412,0.208805016,0.419019448,0.521425847
B[Niihau-West CCA],0.001939876,0.066631336,0.225172417,0.401274741,0.479598422
